Samples  ;Experimental_group;Biological_material;LPC(16:1);LPC(16:0);LPC(18:3);LPC(18:2);LPC(18:1);LPC(18:0);LPC(20:5);LPC(20:4);LPC(20:3);LPC(20:2);LPC(20:1);LPC(20:0);LPC(22:6);LPC(22:5);Total LysoPC;PC(28:1);PC(30:1);PC(30:0);PC(32:2);PC(32:1);PC(32:0);PC(34:4);PC(34:3);PC(34:2);PC(34:1);PC(34:0);PC(36:6);PC(36:5);PC(36:4);PC(36:3);PC(36:2);PC(36:1);PC(36:0);PC(38:6);PC(38:5);PC(38:4);PC(38:3);PC(38:2);PC(38:1);PC(38:0);PC(40:8);PC(40:7);PC(40:6);PC(40:5);PC(40:4);PC(40:3);PC(40:2);PC(42:11);PC(42:10);PC(42:9);PC(42:8);PC(42:7);PC(42:6);PC(42:5);PC(42:4);PC(42:3);PC(42:2);PC(44:12);PC(44:11);PC(44:10);PC(44:9);PC(44:8);PC(44:7);PC(44:6);PC(44:5);PC(44:4);PC(44:3);PC(44:2);Total PC;SM(16:1);SM(16:0);CerPE(16:0);SM(18:1);SM(18:0);CerPE(18:0);SM(22:1);SM(22:0);CerPE(22:0);SM(24:1);SM(24:0);CerPE(24:0);Total SM and CerPE;PC(O-32:3);PC(O-32:2);PC(O-32:1);PC(O-32:0);PC(O-34:4);PC(O-34:3);PC(O-34:2);PC(O-34:1);PC(O-34:0);PC(O-36:5);PC(O-36:4);PC(O-36:3);PC(O-36:2);PC(O-36:1);PC(O-36:0);PC(O-38:6);PC(O-38:5);PC(O-38:4);PC(O-38:3);PC(O-38:2);PC(O-38:1);PC(O-38:0);PC(O-40:6);PC(O-40:5);PC(O-40:4);PC(O-40:3);PC(O-40:2);Total ePC;LPE(16:1);LPE(16:0);LPE(18:3);LPE(18:2);LPE(18:1);LPE(20:5);LPE(20:4);LPE(20:3);LPE(20:2);LPE(20:1);LPE(20:0);LPE(22:6);LPE(22:5);Total LysoPE;PE(28:1);PE(28:0);PE(30:1);PE(30:0);PE(32:2);PE(32:1);PE(32:0);PE(34:4);PE(34:3);PE(34:2);PE(34:1);PE(34:0);PE(36:6);PE(36:5);PE(36:4);PE(36:3);PE(36:2);PE(36:1);PE(36:0);PE(38:6);PE(38:5);PE(38:4);PE(38:3);PE(38:2);PE(38:1);PE(38:0);PE(40:8);PE(40:7);PE(40:6);PE(40:5);PE(40:4);PE(40:3);PE(40:2);PE(42:10);PE(42:9);PE(42:8);PE(42:7);PE(42:6);PE(42:5);PE(42:4);PE(42:3);PE(42:2);PE(44:12);PE(44:11);PE(44:10);PE(44:9);PE(44:8);PE(44:7);PE(44:6);PE(44:5);PE(44:4);PE(44:3);PE(44:2);Total PE;PE-Cer(16:1);PE-Cer(16:0);PE-Cer(18:1);PE-Cer(18:0);PE-Cer(24:0);Total PE-Cer;PE(O-32:3);PE(O-32:2);PE(O-32:1);PE(O-32:0);PE(O-34:4);PE(O-34:3);PE(O-34:2);PE(O-34:1);PE(O-34:0);PE(O-36:5);PE(O-36:4);PE(O-36:3);PE(O-36:2);PE(O-36:1);PE(O-36:0);PE(O-38:6);PE(O-38:5);PE(O-38:4);PE(O-38:3);PE(O-38:2);PE(O-38:1);PE(O-38:0);PE(O-40:6);PE(O-40:5);PE(O-40:4);PE(O-40:3);PE(O-40:2);Total ePE;PI(34:4);PI(34:3);PI(34:2);PI(34:1);PI(36:6);PI(36:5);PI(36:4);PI(36:3);PI(36:2);PI(36:1);PI(38:6);PI(38:5);PI(38:4);PI(38:3);PI(38:2);PI(38:1);PI(38:0);PI(40:8);PI(40:7);PI(40:6);PI(40:5);PI(40:4);PI(40:3);PI(40:2);PI(40:1);PI(40:0);PI(42:10);PI(42:9);PI(42:8);PI(42:7);PI(42:6);PI(42:5);PI(42:4);PI(42:3);PI(42:2);PI(44:12);PI(44:11);PI(44:10);PI(44:9);PI(44:8);PI(44:7);PI(44:6);PI(44:5);PI(44:4);PI(44:3);PI(44:2);Total PI;PS(32:1);PS(32:0);PS(34:4);PS(34:3);PS(34:2);PS(34:1);PS(34:0);PS(36:6);PS(36:5);PS(36:4);PS(36:3);PS(36:2);PS(36:1);PS(36:0);PS(38:7);PS(38:6);PS(38:5);PS(38:4);PS(38:3);PS(38:2);PS(38:1);PS(38:0);PS(40:8);PS(40:7);PS(40:6);PS(40:5);PS(40:4);PS(40:3);PS(40:2);PS(40:1);PS(42:11);PS(42:10);PS(42:9);PS(42:8);PS(42:7);PS(42:6);PS(42:5);PS(44:12);PS(44:11);PS(44:10);PS(44:9);PS(44:8);PS(44:7);PS(44:6);PS(44:5);PS(44:4);PS(44:3);PS(44:2);Total PS;PS(O- 34:2);PS(O- 34:1);PS(O- 36:3);PS(O- 36:2);PS(O- 36:1);PS(O- 36:0);PS(O- 38:6);PS(O- 38:5);PS(O- 38:4);PS(O- 38:3);PS(O- 38:2);PS(O- 38:1);PS(O- 40:5);PS(O- 40:4);PS(O- 40:3);PS(O- 40:2);Total ePS;PA(32:4);PA(32:3);PA(32:2);PA(32:1);PA(32:0);PA(34:4);PA(34:3);PA(34:2);PA(34:1);PA(36:6);PA(36:5);PA(36:4);PA(36:3);PA(36:2);PA(38:6);PA(38:5);PA(38:4);PA(38:3);PA(38:2);PA(40:7);PA(40:6);PA(40:5);Total PA;CE 14:0 ;CE 16:1 ;CE 16:0 ;CE 18:3 ;CE 18:2 ;CE 18:1 ;CE 18:0 ;CE 19:1 ;CE 19:0 ;CE 20:5 ;CE 20:4 ;CE 20:3 ;CE 20:2 ;CE 20:1 ;CE 20:0 ;CE 22:6 ;CE 22:5 ;CE 22:4 ;Total Chol Ester;TAG(48:1);TAG(48:1);TAG(48:0);TAG(50:3);TAG(50:3);TAG(50:2);TAG(50:2);TAG(50:1);TAG(50:0);TAG(52:6);TAG(52:5);TAG(52:4);TAG(52:4);TAG(52:4);TAG(52:3);TAG(52:3);TAG(52:3);TAG(52:2);TAG(52:2);TAG(52:2);TAG(52:1);TAG(52:0);TAG(54:7);TAG(54:6);TAG(54:6);TAG(54:6);TAG(54:5);TAG(54:5);TAG(54:4);TAG(54:4);TAG(54:4);TAG(54:3);TAG(54:3);TAG(54:3);TAG(54:2);TAG(54:2);TAG(54:1);TAG(54:0);TAG(56:7);TAG(56:6);TAG(56:6);TAG(56:5);TAG(56:4);TAG(56:3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P0_C57_1;P0_C57;Plasma;0,117;2,563;0,061;2,200;0,964;1,249;0,092;1,384;0,148;0,029;0,021;0,006;0,733;0,037;9,605;0,005;0,000;0,125;0,052;0,480;1,022;0,028;0,491;11,934;5,592;0,285;0,019;0,746;10,576;3,501;8,903;1,983;0,226;7,095;2,411;7,943;1,313;0,085;0,062;0,188;0,273;0,708;2,716;0,291;0,080;0,000;0,000;0,000;0,088;0,024;0,028;0,017;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;69,292;0,204;2,054;0,095;0,056;0,327;0,019;0,316;0,398;0,175;1,146;0,429;0,011;5,230;0,000;0,000;0,034;0,051;0,004;0,021;0,131;0,255;0,038;0,240;0,333;0,109;0,342;0,134;0,027;0,393;0,286;0,306;0,071;0,102;0,035;0,142;0,176;0,047;0,064;0,004;0,015;3,362;0,003;0,074;0,001;0,062;0,042;0,003;0,054;0,002;0,001;0,000;0,007;0,136;0,011;0,396;0,003;0,000;0,000;0,000;0,000;0,000;0,002;0,004;0,000;0,009;0,008;0,000;0,001;0,001;0,022;0,009;0,016;0,011;0,004;0,054;0,013;0,028;0,013;0,002;0,004;0,024;0,007;0,023;0,021;0,002;0,008;0,003;0,000;0,003;0,001;0,000;0,000;0,000;0,000;0,000;0,007;0,000;0,000;0,003;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,308;0,000;0,001;0,000;0,000;0,000;0,001;0,021;0,000;0,000;0,000;0,001;0,000;0,005;0,000;0,000;0,002;0,024;0,000;0,002;0,000;0,000;0,023;0,017;0,000;0,000;0,000;0,000;0,003;0,012;0,000;0,004;0,000;0,005;0,119;0,003;0,003;0,093;0,055;0,000;0,015;0,205;0,093;0,141;0,001;0,090;0,099;0,816;0,041;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,660;0,000;0,001;0,002;0,001;0,001;0,004;0,003;0,000;0,018;0,003;0,004;0,008;0,008;0,008;0,025;0,013;0,009;0,012;0,000;0,001;0,000;0,001;0,004;0,016;0,002;0,005;0,001;0,004;0,001;0,000;0,001;0,000;0,001;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,001;0,158;0,001;0,000;0,000;0,000;0,001;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,012;0,003;0,003;0,000;0,000;0,003;0,000;0,000;0,000;0,000;0,000;0,000;0,004;0,000;0,000;0,001;0,000;0,000;0,000;0,001;0,000;0,000;0,000;0,015;0,060;0,391;0,165;0,223;2,424;1,055;0,000;0,000;0,000;0,423;3,982;0,000;0,012;0,002;0,000;1,102;0,000;0,004;9,843;0,545;0,613;0,499;0,000;2,305;3,734;2,942;4,906;0,484;0,421;0,411;2,374;2,116;0,897;0,456;0,978;10,628;0,518;19,194;0,503;0,850;0,012;1,624;4,661;2,561;1,659;3,922;4,181;0,418;6,435;0,000;0,343;4,538;0,863;0,000;1,081;0,189;0,000;7,453;0,309;3,258;0,287;0,407;0,425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P0_C57_2;P0_C57;Plasma;0,171;3,455;0,062;3,073;1,371;1,599;0,144;1,925;0,207;0,039;0,026;0,009;1,048;0,063;13,192;0,005;0,013;0,116;0,047;0,528;0,998;0,023;0,434;10,929;5,119;0,306;0,025;0,662;8,968;3,074;7,661;1,555;0,232;6,018;2,126;6,772;1,166;0,059;0,041;0,165;0,237;0,589;2,432;0,288;0,071;0,013;0,004;0,002;0,084;0,018;0,025;0,022;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;60,837;0,236;2,195;0,074;0,068;0,290;0,007;0,350;0,528;0,228;0,967;0,399;0,022;5,364;0,000;0,000;0,049;0,071;0,000;0,025;0,100;0,276;0,046;0,209;0,276;0,082;0,299;0,118;0,029;0,327;0,244;0,271;0,061;0,097;0,027;0,135;0,139;0,041;0,055;0,014;0,019;3,009;0,006;0,091;0,003;0,059;0,047;0,005;0,084;0,005;0,006;0,000;0,000;0,138;0,008;0,452;0,001;0,000;0,000;0,001;0,000;0,001;0,001;0,000;0,006;0,014;0,012;0,001;0,000;0,006;0,016;0,013;0,028;0,013;0,010;0,045;0,029;0,019;0,020;0,004;0,013;0,037;0,004;0,026;0,028;0,014;0,005;0,005;0,003;0,005;0,001;0,000;0,000;0,000;0,000;0,001;0,035;0,000;0,000;0,003;0,000;0,000;0,000;0,000;0,000;0,000;0,001;0,000;0,000;0,423;0,000;0,001;0,000;0,000;0,000;0,001;0,030;0,000;0,000;0,001;0,000;0,006;0,002;0,001;0,000;0,005;0,019;0,001;0,000;0,003;0,000;0,028;0,007;0,000;0,001;0,000;0,000;0,005;0,016;0,003;0,000;0,000;0,001;0,129;0,002;0,007;0,141;0,082;0,000;0,029;0,389;0,154;0,285;0,014;0,173;0,265;1,734;0,168;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;3,443;0,000;0,000;0,000;0,000;0,002;0,002;0,004;0,002;0,039;0,014;0,011;0,009;0,008;0,000;0,050;0,020;0,035;0,012;0,000;0,000;0,000;0,000;0,006;0,059;0,007;0,002;0,003;0,004;0,000;0,000;0,000;0,001;0,010;0,000;0,006;0,001;0,000;0,001;0,002;0,000;0,000;0,001;0,000;0,000;0,003;0,001;0,001;0,001;0,316;0,001;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,000;0,001;0,024;0,031;0,001;0,000;0,000;0,002;0,000;0,003;0,000;0,008;0,002;0,000;0,004;0,000;0,000;0,000;0,001;0,003;0,004;0,000;0,000;0,000;0,000;0,000;0,029;0,087;0,497;0,199;0,253;3,098;1,276;0,000;0,000;0,003;0,603;5,256;0,000;0,008;0,000;0,013;1,477;0,000;0,003;12,772;0,447;0,424;0,441;0,000;1,875;2,753;2,187;4,245;0,400;0,550;0,410;1,626;1,739;0,985;0,064;1,246;8,711;0,332;18,625;0,715;1,138;0,048;1,353;4,726;2,360;1,385;4,067;5,201;0,378;6,646;0,000;0,464;4,786;1,194;0,000;1,157;0,254;0,000;10,989;0,365;4,053;0,622;0,537;0,502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
